127.0.0.1 - - [24/Apr/2018:23:16:36 +0900] "GET / HTTP/1.1" 404 994
127.0.0.1 - - [24/Apr/2018:23:16:37 +0900] "GET /cban/216210089_%EC%A4%91%EA%B0%84/index.jsp HTTP/1.1" 200 744
127.0.0.1 - - [24/Apr/2018:23:16:37 +0900] "GET /cban/assets/bootstrap-4.1.0/css/bootstrap.min.css HTTP/1.1" 200 140421
127.0.0.1 - - [24/Apr/2018:23:16:37 +0900] "GET /cban/216210089_%EC%A4%91%EA%B0%84/style.css HTTP/1.1" 404 1080
127.0.0.1 - - [24/Apr/2018:23:16:37 +0900] "GET /cban/assets/bootstrap-4.1.0/js/bootstrap.min.js HTTP/1.1" 200 50676
127.0.0.1 - - [24/Apr/2018:23:16:37 +0900] "GET /cban/assets/fontawesome-free-5.0.9/svg-with-js/js/fontawesome-all.js HTTP/1.1" 200 738721
127.0.0.1 - - [24/Apr/2018:23:16:38 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
127.0.0.1 - - [24/Apr/2018:23:20:34 +0900] "GET /cban/216210089_%EC%A4%91%EA%B0%84/index.jsp HTTP/1.1" 200 8922
127.0.0.1 - - [24/Apr/2018:23:20:34 +0900] "GET /cban/216210089_%EC%A4%91%EA%B0%84/style.css HTTP/1.1" 404 1080
127.0.0.1 - - [24/Apr/2018:23:20:34 +0900] "GET /cban/216210089_%EC%A4%91%EA%B0%84/dashboard.css HTTP/1.1" 404 1088
127.0.0.1 - - [24/Apr/2018:23:20:34 +0900] "GET /cban/assets/bootstrap-4.1.0/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Apr/2018:23:21:29 +0900] "GET /cban/216210089_%EC%A4%91%EA%B0%84/index.jsp HTTP/1.1" 200 1209
127.0.0.1 - - [24/Apr/2018:23:21:29 +0900] "GET /cban/216210089_%EC%A4%91%EA%B0%84/style.css HTTP/1.1" 404 1080
127.0.0.1 - - [24/Apr/2018:23:21:29 +0900] "GET /cban/216210089_%EC%A4%91%EA%B0%84/dashboard.css HTTP/1.1" 404 1088
127.0.0.1 - - [24/Apr/2018:23:21:29 +0900] "GET /cban/assets/bootstrap-4.1.0/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Apr/2018:23:22:10 +0900] "GET /cban/216210089_%EC%A4%91%EA%B0%84/index.jsp HTTP/1.1" 200 4108
127.0.0.1 - - [24/Apr/2018:23:22:10 +0900] "GET /cban/216210089_%EC%A4%91%EA%B0%84/style.css HTTP/1.1" 404 1080
127.0.0.1 - - [24/Apr/2018:23:22:10 +0900] "GET /cban/216210089_%EC%A4%91%EA%B0%84/dashboard.css HTTP/1.1" 404 1088
127.0.0.1 - - [24/Apr/2018:23:24:11 +0900] "GET /cban/216210089_%EC%A4%91%EA%B0%84/index.jsp HTTP/1.1" 200 4120
127.0.0.1 - - [24/Apr/2018:23:24:12 +0900] "GET /cban/216210089_%EC%A4%91%EA%B0%84/style.css HTTP/1.1" 404 1080
127.0.0.1 - - [24/Apr/2018:23:24:12 +0900] "GET /cban/216210089_%EC%A4%91%EA%B0%84/cban/assets/dashboard.css HTTP/1.1" 404 1112
